campaign_name,channel,ad_spend,impressions,clicks
Google_Brand_Search,google,1325.46,131958,1360
Google_Shopping,google,3185.83,129879,4272
Google_Display,google,949.89,147337,966
FB_Retargeting,facebook,2001.69,97498,6731
FB_Lookalike,facebook,592.63,26023,630
FB_Awareness,facebook,4245.99,10769,2891
Email_Newsletter,email,1325.32,15311,5551
Email_Promo,email,2861.4,194779,3885
Email_Winback,email,3253.34,140608,974
Organic_SEO,organic,1814.65,132537,2547
Organic_Social,organic,2552.31,133855,2306
