impression_id,campaign_id,date,impressions,clicks,ctr,spend_usd
IMP-C001-20240101,C001,2024-01-01,6745,289,0.042926,550.0
IMP-C001-20240102,C001,2024-01-02,8284,343,0.041488,550.0
IMP-C001-20240103,C001,2024-01-03,8368,472,0.056512,550.0
IMP-C001-20240104,C001,2024-01-04,6813,259,0.038049,523.25
IMP-C001-20240105,C001,2024-01-05,6362,103,0.016301,169.18
IMP-C001-20240106,C001,2024-01-06,5156,153,0.029808,344.9
IMP-C001-20240107,C001,2024-01-07,4637,110,0.023815,285.97
IMP-C001-20240108,C001,2024-01-08,5661,260,0.046013,450.47
IMP-C001-20240109,C001,2024-01-09,5183,241,0.046664,437.34
IMP-C001-20240110,C001,2024-01-10,6563,236,0.03599,489.11
IMP-C001-20240111,C001,2024-01-11,5097,370,0.072784,550.0
IMP-C001-20240112,C001,2024-01-12,4413,253,0.057338,453.82
IMP-C001-20240113,C001,2024-01-13,6313,98,0.015605,172.63
IMP-C001-20240114,C001,2024-01-14,6295,353,0.056077,550.0
IMP-C001-20240115,C001,2024-01-15,5826,235,0.040483,403.36
IMP-C001-20240116,C001,2024-01-16,4920,187,0.03809,463.22
IMP-C001-20240117,C001,2024-01-17,6515,120,0.018554,270.87
IMP-C001-20240118,C001,2024-01-18,5422,188,0.034846,440.58
IMP-C001-20240119,C001,2024-01-19,7546,444,0.058969,550.0
IMP-C001-20240120,C001,2024-01-20,5536,276,0.049969,550.0
IMP-C001-20240121,C001,2024-01-21,5281,222,0.042215,405.84
IMP-C001-20240122,C001,2024-01-22,4205,240,0.057188,550.0
IMP-C001-20240123,C001,2024-01-23,5891,353,0.060053,550.0
IMP-C001-20240124,C001,2024-01-24,5032,253,0.050421,550.0
IMP-C001-20240125,C001,2024-01-25,5946,407,0.06847,550.0
IMP-C001-20240126,C001,2024-01-26,7232,334,0.046306,550.0
IMP-C001-20240127,C001,2024-01-27,6137,93,0.015186,194.75
IMP-C001-20240128,C001,2024-01-28,6535,438,0.067168,550.0
IMP-C001-20240129,C001,2024-01-29,4787,179,0.037474,435.8
IMP-C001-20240130,C001,2024-01-30,6493,240,0.037054,550.0
IMP-C001-20240131,C001,2024-01-31,6145,365,0.05953,550.0
IMP-C001-20240201,C001,2024-02-01,5508,215,0.039118,370.0
IMP-C001-20240202,C001,2024-02-02,6444,315,0.048916,550.0
