table_name,ordinal_position,column_name,data_type,is_nullable
ad_impressions,1,impression_id,STRING,YES
ad_impressions,2,campaign_id,STRING,YES
ad_impressions,3,date,DATE,YES
ad_impressions,4,impressions,INT64,YES
ad_impressions,5,clicks,INT64,YES
ad_impressions,6,ctr_calculated,FLOAT64,YES
ad_impressions,7,ctr_original,FLOAT64,YES
ad_impressions,8,spend_usd,FLOAT64,YES
ad_impressions,9,cost_per_click_usd,FLOAT64,YES
ad_impressions,10,cleaned_at,TIMESTAMP,YES
campaigns,1,campaign_id,STRING,YES
campaigns,2,campaign_name,STRING,YES
campaigns,3,channel,STRING,YES
campaigns,4,campaign_type,STRING,YES
campaigns,5,daily_budget_usd,FLOAT64,YES
campaigns,6,start_date,DATE,YES
campaigns,7,end_date,DATE,YES
campaigns,8,is_active,BOOL,YES
campaigns,9,cleaned_at,TIMESTAMP,YES
conversions,1,order_id,STRING,YES
conversions,2,session_id,STRING,YES
conversions,3,campaign_id,STRING,YES
conversions,4,channel,STRING,YES
conversions,5,order_date,DATE,YES
conversions,6,order_ts,DATETIME,YES
conversions,7,order_value_usd,FLOAT64,YES
conversions,8,order_value_tier,STRING,YES
conversions,9,device,STRING,YES
conversions,10,country,STRING,YES
conversions,11,cleaned_at,TIMESTAMP,YES
sessions,1,session_id,STRING,YES
sessions,2,campaign_id,STRING,YES
sessions,3,channel,STRING,YES
sessions,4,session_date,DATE,YES
sessions,5,session_ts,DATETIME,YES
sessions,6,device,STRING,YES
sessions,7,country,STRING,YES
sessions,8,pages_viewed,INT64,YES
sessions,9,session_duration_sec,INT64,YES
sessions,10,is_bounce,INT64,YES
sessions,11,engagement_tier,STRING,YES
sessions,12,cleaned_at,TIMESTAMP,YES
v_campaign_ctr_cvr_scatter,1,campaign_id,STRING,YES
v_campaign_ctr_cvr_scatter,2,campaign_name,STRING,YES
v_campaign_ctr_cvr_scatter,3,channel,STRING,YES
v_campaign_ctr_cvr_scatter,4,campaign_type,STRING,YES
v_campaign_ctr_cvr_scatter,5,avg_ctr_pct,FLOAT64,YES
v_campaign_ctr_cvr_scatter,6,avg_session_cvr_pct,FLOAT64,YES
v_campaign_ctr_cvr_scatter,7,avg_click_cvr_pct,FLOAT64,YES
v_campaign_ctr_cvr_scatter,8,total_impressions,INT64,YES
v_campaign_ctr_cvr_scatter,9,total_clicks,INT64,YES
v_campaign_ctr_cvr_scatter,10,total_orders,INT64,YES
v_campaign_ctr_cvr_scatter,11,total_revenue_usd,FLOAT64,YES
v_campaign_ctr_cvr_scatter,12,total_spend_usd,FLOAT64,YES
v_campaign_daily_ctr_cvr,1,campaign_id,STRING,YES
v_campaign_daily_ctr_cvr,2,campaign_name,STRING,YES
v_campaign_daily_ctr_cvr,3,channel,STRING,YES
v_campaign_daily_ctr_cvr,4,campaign_type,STRING,YES
v_campaign_daily_ctr_cvr,5,date,DATE,YES
v_campaign_daily_ctr_cvr,6,impressions,INT64,YES
v_campaign_daily_ctr_cvr,7,clicks,INT64,YES
v_campaign_daily_ctr_cvr,8,ctr,FLOAT64,YES
v_campaign_daily_ctr_cvr,9,spend_usd,FLOAT64,YES
v_campaign_daily_ctr_cvr,10,sessions,INT64,YES
v_campaign_daily_ctr_cvr,11,orders,INT64,YES
v_campaign_daily_ctr_cvr,12,revenue_usd,FLOAT64,YES
v_campaign_daily_ctr_cvr,13,session_cvr,FLOAT64,YES
v_campaign_daily_ctr_cvr,14,click_cvr,FLOAT64,YES
v_campaign_roi,1,campaign_id,STRING,YES
v_campaign_roi,2,campaign_name,STRING,YES
v_campaign_roi,3,channel,STRING,YES
v_campaign_roi,4,campaign_type,STRING,YES
v_campaign_roi,5,daily_budget,FLOAT64,YES
v_campaign_roi,6,campaign_days,INT64,YES
v_campaign_roi,7,total_spend_usd,FLOAT64,YES
v_campaign_roi,8,total_impressions,INT64,YES
v_campaign_roi,9,total_clicks,INT64,YES
v_campaign_roi,10,ctr_pct,FLOAT64,YES
v_campaign_roi,11,total_sessions,INT64,YES
v_campaign_roi,12,engaged_sessions,INT64,YES
v_campaign_roi,13,total_orders,INT64,YES
v_campaign_roi,14,total_revenue_usd,FLOAT64,YES
v_campaign_roi,15,avg_order_value_usd,FLOAT64,YES
v_campaign_roi,16,session_cvr_pct,FLOAT64,YES
v_campaign_roi,17,cost_per_acquisition,FLOAT64,YES
v_campaign_roi,18,cpm_usd,FLOAT64,YES
v_campaign_roi,19,cpc_usd,FLOAT64,YES
v_campaign_roi,20,roas,FLOAT64,YES
v_campaign_roi,21,roi_pct,FLOAT64,YES
v_campaign_type_roi,1,channel,STRING,YES
v_campaign_type_roi,2,campaign_type,STRING,YES
v_campaign_type_roi,3,campaign_count,INT64,YES
v_campaign_type_roi,4,total_spend_usd,FLOAT64,YES
v_campaign_type_roi,5,total_revenue_usd,FLOAT64,YES
v_campaign_type_roi,6,avg_ctr_pct,FLOAT64,YES
v_campaign_type_roi,7,avg_cvr_pct,FLOAT64,YES
v_campaign_type_roi,8,avg_roas,FLOAT64,YES
v_campaign_type_roi,9,avg_roi_pct,FLOAT64,YES
v_campaign_type_roi,10,avg_cpa_usd,FLOAT64,YES
v_channel_performance,1,channel,STRING,YES
v_channel_performance,2,total_sessions,INT64,YES
v_channel_performance,3,bounced_sessions,INT64,YES
v_channel_performance,4,bounce_rate,FLOAT64,YES
v_channel_performance,5,avg_duration_sec,FLOAT64,YES
v_channel_performance,6,avg_pages,FLOAT64,YES
v_channel_performance,7,total_orders,INT64,YES
v_channel_performance,8,total_revenue_usd,FLOAT64,YES
v_channel_performance,9,avg_order_value_usd,FLOAT64,YES
v_channel_performance,10,total_spend_usd,FLOAT64,YES
v_channel_performance,11,conversion_rate,FLOAT64,YES
v_channel_performance,12,cost_per_acquisition,FLOAT64,YES
v_channel_performance,13,roas,FLOAT64,YES
v_ctr_bucket_analysis,1,ctr_bucket,STRING,YES
v_ctr_bucket_analysis,2,record_count,INT64,YES
v_ctr_bucket_analysis,3,avg_ctr_pct,FLOAT64,YES
v_ctr_bucket_analysis,4,avg_session_cvr_pct,FLOAT64,YES
v_ctr_bucket_analysis,5,avg_click_cvr_pct,FLOAT64,YES
v_ctr_bucket_analysis,6,total_orders,FLOAT64,YES
v_ctr_bucket_analysis,7,total_revenue_usd,FLOAT64,YES
v_ctr_bucket_analysis,8,avg_daily_spend_usd,FLOAT64,YES
v_device_channel_conversion,1,channel,STRING,YES
v_device_channel_conversion,2,device,STRING,YES
v_device_channel_conversion,3,orders,INT64,YES
v_device_channel_conversion,4,revenue_usd,FLOAT64,YES
v_device_channel_conversion,5,avg_order_value,FLOAT64,YES
v_monthly_channel_trend,1,year_month,STRING,YES
v_monthly_channel_trend,2,channel,STRING,YES
v_monthly_channel_trend,3,orders,INT64,YES
v_monthly_channel_trend,4,revenue_usd,FLOAT64,YES
v_monthly_roi_trend,1,year_month,STRING,YES
v_monthly_roi_trend,2,channel,STRING,YES
v_monthly_roi_trend,3,spend_usd,FLOAT64,YES
v_monthly_roi_trend,4,revenue_usd,FLOAT64,YES
v_monthly_roi_trend,5,roas,FLOAT64,YES
v_monthly_roi_trend,6,roi_pct,FLOAT64,YES
