impression_id,campaign_id,date,impressions,clicks,ctr_calculated,ctr_original,spend_usd,cost_per_click_usd,cleaned_at
IMP-C011-20241231,C011,2024-12-31,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C002-20241231,C002,2024-12-31,8226,393,0.047775,0.047846,770.83,1.9614,2026-03-20 07:22:09.349981 UTC
IMP-C004-20241231,C004,2024-12-31,5973,218,0.036498,0.036541,77.42,0.3551,2026-03-20 07:22:09.349981 UTC
IMP-C001-20241231,C001,2024-12-31,7642,352,0.046061,0.04618,549.31,1.5605,2026-03-20 07:22:09.349981 UTC
IMP-C007-20241231,C007,2024-12-31,4124,45,0.010912,0.010947,40.52,0.9004,2026-03-20 07:22:09.349981 UTC
IMP-C008-20241231,C008,2024-12-31,1008,10,0.009921,0.01042,1.0,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C010-20241231,C010,2024-12-31,451,14,0.031042,0.031081,1.4,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C006-20241231,C006,2024-12-31,14436,319,0.022098,0.022116,455.9,1.4292,2026-03-20 07:22:09.349981 UTC
IMP-C012-20241231,C012,2024-12-31,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C008-20241230,C008,2024-12-30,708,25,0.035311,0.03643,2.5,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C012-20241230,C012,2024-12-30,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C010-20241230,C010,2024-12-30,579,14,0.02418,0.024401,2.77,0.1979,2026-03-20 07:22:09.349981 UTC
IMP-C001-20241230,C001,2024-12-30,9218,421,0.045672,0.045779,550.0,1.3064,2026-03-20 07:22:09.349981 UTC
IMP-C002-20241230,C002,2024-12-30,7493,389,0.051915,0.051933,880.0,2.2622,2026-03-20 07:22:09.349981 UTC
IMP-C006-20241230,C006,2024-12-30,7549,103,0.013644,0.013744,171.8,1.668,2026-03-20 07:22:09.349981 UTC
IMP-C004-20241230,C004,2024-12-30,6072,292,0.04809,0.048189,265.16,0.9081,2026-03-20 07:22:09.349981 UTC
IMP-C007-20241230,C007,2024-12-30,5791,105,0.018132,0.018238,170.49,1.6237,2026-03-20 07:22:09.349981 UTC
IMP-C011-20241230,C011,2024-12-30,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C006-20241229,C006,2024-12-29,10412,95,0.009124,0.009205,235.9,2.4832,2026-03-20 07:22:09.349981 UTC
IMP-C012-20241229,C012,2024-12-29,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C008-20241229,C008,2024-12-29,991,5,0.005045,0.005938,1.95,0.39,2026-03-20 07:22:09.349981 UTC
IMP-C001-20241229,C001,2024-12-29,7417,325,0.043818,0.043926,550.0,1.6923,2026-03-20 07:22:09.349981 UTC
IMP-C007-20241229,C007,2024-12-29,4102,60,0.014627,0.014628,76.22,1.2703,2026-03-20 07:22:09.349981 UTC
IMP-C011-20241229,C011,2024-12-29,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C004-20241229,C004,2024-12-29,5271,179,0.033959,0.034076,223.66,1.2495,2026-03-20 07:22:09.349981 UTC
IMP-C010-20241229,C010,2024-12-29,590,8,0.013559,0.014045,0.8,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C002-20241229,C002,2024-12-29,11648,449,0.038547,0.038561,880.0,1.9599,2026-03-20 07:22:09.349981 UTC
IMP-C007-20241228,C007,2024-12-28,6444,113,0.017536,0.017639,261.95,2.3181,2026-03-20 07:22:09.349981 UTC
IMP-C001-20241228,C001,2024-12-28,9809,476,0.048527,0.048582,550.0,1.1555,2026-03-20 07:22:09.349981 UTC
IMP-C002-20241228,C002,2024-12-28,5578,379,0.067946,0.068002,656.74,1.7328,2026-03-20 07:22:09.349981 UTC
IMP-C008-20241228,C008,2024-12-28,1033,40,0.038722,0.039524,4.0,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C004-20241228,C004,2024-12-28,3481,142,0.040793,0.040803,44.11,0.3106,2026-03-20 07:22:09.349981 UTC
IMP-C012-20241228,C012,2024-12-28,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C010-20241228,C010,2024-12-28,358,7,0.019553,0.021443,0.7,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C011-20241228,C011,2024-12-28,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C006-20241228,C006,2024-12-28,12006,258,0.021489,0.021537,407.5,1.5795,2026-03-20 07:22:09.349981 UTC
IMP-C011-20241227,C011,2024-12-27,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C012-20241227,C012,2024-12-27,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C010-20241227,C010,2024-12-27,533,16,0.030019,0.030852,1.6,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C006-20241227,C006,2024-12-27,5174,198,0.038268,0.038337,365.63,1.8466,2026-03-20 07:22:09.349981 UTC
IMP-C007-20241227,C007,2024-12-27,3826,38,0.009932,0.010052,30.51,0.8029,2026-03-20 07:22:09.349981 UTC
IMP-C002-20241227,C002,2024-12-27,11364,480,0.042239,0.042294,880.0,1.8333,2026-03-20 07:22:09.349981 UTC
IMP-C008-20241227,C008,2024-12-27,526,12,0.022814,0.022852,4.91,0.4092,2026-03-20 07:22:09.349981 UTC
IMP-C001-20241227,C001,2024-12-27,11849,601,0.050722,0.050729,550.0,0.9151,2026-03-20 07:22:09.349981 UTC
IMP-C004-20241227,C004,2024-12-27,6377,459,0.071977,0.072108,45.9,0.1,2026-03-20 07:22:09.349981 UTC
IMP-C002-20241226,C002,2024-12-26,18793,847,0.04507,0.045102,880.0,1.039,2026-03-20 07:22:09.349981 UTC
IMP-C006-20241226,C006,2024-12-26,10271,232,0.022588,0.022613,381.98,1.6465,2026-03-20 07:22:09.349981 UTC
IMP-C011-20241226,C011,2024-12-26,50,0,0.0,0.0,0.0,,2026-03-20 07:22:09.349981 UTC
IMP-C004-20241226,C004,2024-12-26,4833,211,0.043658,0.043838,50.94,0.2414,2026-03-20 07:22:09.349981 UTC
IMP-C010-20241226,C010,2024-12-26,444,13,0.029279,0.030218,2.08,0.16,2026-03-20 07:22:09.349981 UTC
