order_id,session_id,campaign_id,channel,order_date,order_ts,order_value_usd,order_value_tier,device,country,cleaned_at
ORD-0001496,S00037586,C001,Google Ads,2024-05-27,2024-05-27T10:13:13,80.03,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003720,S00093189,C001,Google Ads,2024-12-17,2024-12-17T02:17:59,127.89,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003664,S00091617,C001,Google Ads,2024-12-13,2024-12-13T11:17:35,88.25,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003622,S00090698,C001,Google Ads,2024-12-10,2024-12-10T18:48:06,104.95,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001305,S00032591,C001,Google Ads,2024-05-09,2024-05-09T15:14:54,111.21,Mid Value,Tablet,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001218,S00030360,C001,Google Ads,2024-04-30,2024-04-30T08:25:59,110.21,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000772,S00018712,C001,Google Ads,2024-03-16,2024-03-16T17:46:56,61.09,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000910,S00022258,C001,Google Ads,2024-03-29,2024-03-29T01:44:36,139.83,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003571,S00089391,C001,Google Ads,2024-12-07,2024-12-07T00:37:32,73.81,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003475,S00087078,C001,Google Ads,2024-12-01,2024-12-01T09:39:49,114.18,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000035,S00000673,C001,Google Ads,2024-01-03,2024-01-03T12:40:04,110.17,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001630,S00041168,C001,Google Ads,2024-06-12,2024-06-12T18:39:25,62.68,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001726,S00043603,C001,Google Ads,2024-06-26,2024-06-26T11:40:31,10.0,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003415,S00085410,C001,Google Ads,2024-11-28,2024-11-28T21:11:19,57.36,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000466,S00010985,C001,Google Ads,2024-02-17,2024-02-17T00:27:43,148.19,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000755,S00018278,C001,Google Ads,2024-03-14,2024-03-14T16:11:16,53.29,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003002,S00074656,C001,Google Ads,2024-10-23,2024-10-23T12:29:42,15.71,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001839,S00045999,C001,Google Ads,2024-07-06,2024-07-06T08:22:02,90.1,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002298,S00057158,C001,Google Ads,2024-08-17,2024-08-17T11:10:16,171.46,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001911,S00047633,C001,Google Ads,2024-07-12,2024-07-12T10:48:43,76.73,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003118,S00077377,C001,Google Ads,2024-11-01,2024-11-01T16:04:27,94.89,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002407,S00060071,C001,Google Ads,2024-08-30,2024-08-30T18:56:55,63.72,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003357,S00083507,C001,Google Ads,2024-11-19,2024-11-19T09:20:07,133.98,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003778,S00094558,C001,Google Ads,2024-12-22,2024-12-22T01:42:24,45.03,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001415,S00035438,C001,Google Ads,2024-05-19,2024-05-19T01:49:52,74.13,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003570,S00089367,C001,Google Ads,2024-12-07,2024-12-07T15:50:50,170.34,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000703,S00017024,C001,Google Ads,2024-03-11,2024-03-11T06:02:02,126.4,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001895,S00047110,C001,Google Ads,2024-07-10,2024-07-10T00:31:21,98.64,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002050,S00050892,C001,Google Ads,2024-07-24,2024-07-24T18:11:08,93.34,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000888,S00021524,C001,Google Ads,2024-03-26,2024-03-26T16:57:08,107.9,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000951,S00023250,C001,Google Ads,2024-04-03,2024-04-03T10:41:29,113.77,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003584,S00089728,C001,Google Ads,2024-12-07,2024-12-07T09:41:04,47.12,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000779,S00018950,C001,Google Ads,2024-03-17,2024-03-17T03:42:43,96.97,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
