session_id,campaign_id,channel,session_date,session_ts,device,country,pages_viewed,session_duration_sec,is_bounce,engagement_tier,cleaned_at
S00092557,C001,Google Ads,2024-12-15,2024-12-15T13:38:23,Mobile,GB,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00041601,C001,Google Ads,2024-06-14,2024-06-14T06:34:58,Mobile,TW,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00040904,C001,Google Ads,2024-06-10,2024-06-10T10:04:01,Desktop,SG,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00053484,C001,Google Ads,2024-08-04,2024-08-04T20:42:38,Mobile,SG,2,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00097072,C001,Google Ads,2024-12-28,2024-12-28T06:48:02,Mobile,GB,6,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00007755,C001,Google Ads,2024-02-02,2024-02-02T00:12:48,Mobile,TW,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00000645,C001,Google Ads,2024-01-03,2024-01-03T19:37:05,Mobile,HK,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00017498,C001,Google Ads,2024-03-12,2024-03-12T01:15:35,Mobile,TW,4,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00068451,C001,Google Ads,2024-10-02,2024-10-02T10:50:19,Desktop,SG,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00066168,C001,Google Ads,2024-09-24,2024-09-24T04:59:47,Desktop,GB,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00027391,C001,Google Ads,2024-04-19,2024-04-19T12:15:45,Desktop,JP,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00045821,C001,Google Ads,2024-07-06,2024-07-06T07:02:17,Desktop,HK,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00087755,C001,Google Ads,2024-12-03,2024-12-03T23:56:31,Mobile,HK,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00069872,C001,Google Ads,2024-10-07,2024-10-07T09:33:41,Tablet,SG,6,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00054599,C001,Google Ads,2024-08-07,2024-08-07T10:34:32,Mobile,US,2,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00002912,C001,Google Ads,2024-01-13,2024-01-13T02:56:46,Tablet,HK,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00044045,C001,Google Ads,2024-06-28,2024-06-28T04:25:05,Mobile,US,2,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00086456,C001,Google Ads,2024-11-29,2024-11-29T09:31:15,Desktop,SG,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00049327,C001,Google Ads,2024-07-17,2024-07-17T05:50:12,Tablet,TW,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00001067,C001,Google Ads,2024-01-04,2024-01-04T13:38:09,Mobile,GB,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
