campaign_id,campaign_name,channel,campaign_type,daily_budget,campaign_days,total_spend_usd,total_impressions,total_clicks,ctr_pct,total_sessions,engaged_sessions,total_orders,total_revenue_usd,avg_order_value_usd,session_cvr_pct,cost_per_acquisition,cpm_usd,cpc_usd,roas,roi_pct
C010,Email_Abandoned_Cart,Email,Automation,30.0,366,795.7000000000005,140123,3820,2.726,3306,3282,350,35905.54,102.59,10.587,2.27,5.68,0.21,45.12,4412.45
C008,Email_Newsletter_Monthly,Email,Newsletter,50.0,366,1400.16,227582,6123,2.69,5443,5391,374,39006.65,104.3,6.871,3.74,6.15,0.23,27.86,2685.87
C009,Email_Promo_Flash_Sale,Email,Promotion,80.0,304,1891.4099999999989,307087,8371,2.726,7601,7537,491,50979.14,103.83,6.46,3.85,6.16,0.23,26.95,2595.3
C003,Google_Shopping_Q1,Google Ads,Shopping,600.0,91,32138.859999999997,660133,30708,4.652,28162,27962,1191,113801.56,95.55,4.229,26.98,48.69,1.05,3.54,254.09
C007,Facebook_Retargeting,Facebook Ads,Retargeting,350.0,275,37347.950000000012,1245040,26193,2.104,23948,23755,1106,98046.18,88.65,4.618,33.77,30.0,1.43,2.63,162.52
C002,Google_Nonbrand_Search,Google Ads,Search,800.0,366,281107.44000000006,3835075,170798,4.454,157187,155989,6392,609191.64,95.31,4.066,43.98,73.3,1.65,2.17,116.71
C001,Google_Brand_Search,Google Ads,Search,500.0,366,175690.14,2385002,106283,4.456,98169,97489,3903,372979.52,95.56,3.976,45.01,73.66,1.65,2.12,112.29
C005,Facebook_Awareness,Facebook Ads,Awareness,400.0,182,18517.020000000004,876883,19347,2.206,17779,17625,237,20038.46,84.55,1.333,78.13,21.12,0.96,1.08,8.22
C006,Facebook_Conversion,Facebook Ads,Conversion,700.0,366,123353.39000000001,3209507,69106,2.153,63700,63232,1454,128565.26,88.42,2.283,84.84,38.43,1.78,1.04,4.23
C004,Google_Display_Remarketing,Google Ads,Display,300.0,306,32560.569999999989,1182186,52099,4.407,48231,47863,246,22754.61,92.5,0.51,132.36,27.54,0.62,0.7,-30.12
C012,Direct_Traffic,Direct,Direct,0.0,366,0.0,18300,0,0.0,28975,28745,1979,215525.04,108.91,6.83,0.0,0.0,,,
C011,Organic_Seo,Organic,SEO,0.0,366,0.0,18300,0,0.0,29296,29039,565,47781.29,84.57,1.929,0.0,0.0,,,
