year_month,channel,spend_usd,revenue_usd,roas,roi_pct
2024-01,Email,168.12,5264.09,31.31,3031.15
2024-01,Facebook Ads,12498.0,13525.65,1.08,8.22
2024-01,Google Ads,47193.74,116224.9,2.46,146.27
2024-02,Email,398.27,11139.47,27.97,2696.96
2024-02,Facebook Ads,12384.11,12773.76,1.03,3.15
2024-02,Google Ads,46380.4,103221.27,2.23,122.55
2024-03,Email,401.75,12726.17,31.68,3067.68
2024-03,Facebook Ads,13868.25,16526.76,1.19,19.17
2024-03,Google Ads,53076.86,125574.58,2.37,136.59
2024-04,Email,350.74,10937.0,31.18,3018.26
2024-04,Facebook Ads,18266.42,25309.81,1.39,38.56
2024-04,Google Ads,43414.87,93624.87,2.16,115.65
2024-05,Email,335.93,10791.67,32.12,3112.48
2024-05,Facebook Ads,15521.55,20261.19,1.31,30.54
2024-05,Google Ads,41176.98,81586.45,1.98,98.14
2024-06,Email,375.48,12582.23,33.51,3250.97
2024-06,Facebook Ads,17314.84,24896.15,1.44,43.79
2024-06,Google Ads,37022.34,64718.79,1.75,74.81
2024-07,Email,278.37,9459.09,33.98,3298.03
2024-07,Facebook Ads,13252.44,18141.55,1.37,36.89
2024-07,Google Ads,43242.12,92448.85,2.14,113.79
2024-08,Email,407.11,11215.67,27.55,2654.95
2024-08,Facebook Ads,13735.35,19839.05,1.44,44.44
2024-08,Google Ads,39357.74,77273.1,1.96,96.34
2024-09,Email,309.34,10655.3,34.45,3344.53
2024-09,Facebook Ads,14134.99,21283.4,1.51,50.57
2024-09,Google Ads,40398.66,79435.92,1.97,96.63
2024-10,Email,460.37,10199.05,22.15,2115.4
2024-10,Facebook Ads,12549.69,19705.38,1.57,57.02
2024-10,Google Ads,41727.39,84050.31,2.01,101.43
2024-11,Email,424.35,13752.36,32.41,3140.81
2024-11,Facebook Ads,18237.84,28171.72,1.54,54.47
2024-11,Google Ads,42753.0,94922.58,2.22,122.03
2024-12,Email,177.44,7169.23,40.4,3940.37
2024-12,Facebook Ads,17454.88,26215.48,1.5,50.19
2024-12,Google Ads,45752.91,105645.71,2.31,130.9
