campaign_id,campaign_name,channel,campaign_type,date,impressions,clicks,ctr,spend_usd,sessions,orders,revenue_usd,session_cvr,click_cvr
C001,Google_Brand_Search,Google Ads,Search,2024-01-01,6745,289,0.042847,550.0,286,19,1748.2299999999998,0.066434,0.065744
C002,Google_Nonbrand_Search,Google Ads,Search,2024-01-01,11799,592,0.050174,880.0,505,23,2429.2299999999996,0.045545,0.038851
C003,Google_Shopping_Q1,Google Ads,Shopping,2024-01-01,7966,360,0.045192,319.52,331,9,1021.3,0.02719,0.025
C005,Facebook_Awareness,Facebook Ads,Awareness,2024-01-01,4893,141,0.028817,141.24,124,4,356.53,0.032258,0.028369
C006,Facebook_Conversion,Facebook Ads,Conversion,2024-01-01,9997,224,0.022407,429.29,196,3,183.84,0.015306,0.013393
C008,Email_Newsletter_Monthly,Email,Newsletter,2024-01-01,266,5,0.018797,0.5,4,0,0.0,0.0,0.0
C010,Email_Abandoned_Cart,Email,Automation,2024-01-01,437,16,0.036613,1.6,14,1,131.25,0.071429,0.0625
C001,Google_Brand_Search,Google Ads,Search,2024-01-02,8284,343,0.041405,550.0,304,14,1381.9999999999998,0.046053,0.040816
C002,Google_Nonbrand_Search,Google Ads,Search,2024-01-02,2648,202,0.076284,427.86,190,12,956.27,0.063158,0.059406
C003,Google_Shopping_Q1,Google Ads,Shopping,2024-01-02,8078,582,0.072048,595.23,514,12,1209.13,0.023346,0.020619
C005,Facebook_Awareness,Facebook Ads,Awareness,2024-01-02,2907,45,0.01548,42.2,40,1,53.71,0.025,0.022222
C006,Facebook_Conversion,Facebook Ads,Conversion,2024-01-02,11023,124,0.011249,210.2,115,2,176.23000000000002,0.017391,0.016129
C008,Email_Newsletter_Monthly,Email,Newsletter,2024-01-02,505,21,0.041584,10.26,19,1,90.64,0.052632,0.047619
C010,Email_Abandoned_Cart,Email,Automation,2024-01-02,425,19,0.044706,11.98,18,4,465.31,0.222222,0.210526
C001,Google_Brand_Search,Google Ads,Search,2024-01-03,8368,472,0.056405,550.0,421,14,1321.41,0.033254,0.029661
C002,Google_Nonbrand_Search,Google Ads,Search,2024-01-03,12259,360,0.029366,843.78,344,8,749.38,0.023256,0.022222
C003,Google_Shopping_Q1,Google Ads,Shopping,2024-01-03,8495,217,0.025544,172.1,213,11,1280.27,0.051643,0.050691
C005,Facebook_Awareness,Facebook Ads,Awareness,2024-01-03,4709,177,0.037588,96.32,174,3,252.79000000000002,0.017241,0.016949
C006,Facebook_Conversion,Facebook Ads,Conversion,2024-01-03,6777,169,0.024937,366.57,168,3,241.51,0.017857,0.017751
C008,Email_Newsletter_Monthly,Email,Newsletter,2024-01-03,549,3,0.005464,0.3,2,0,0.0,0.0,0.0
C010,Email_Abandoned_Cart,Email,Automation,2024-01-03,617,10,0.016207,9.07,9,0,0.0,0.0,0.0
C001,Google_Brand_Search,Google Ads,Search,2024-01-04,6813,259,0.038016,523.25,234,9,713.01,0.038462,0.034749
C002,Google_Nonbrand_Search,Google Ads,Search,2024-01-04,7071,252,0.035639,689.02,250,14,1445.54,0.056,0.055556
C003,Google_Shopping_Q1,Google Ads,Shopping,2024-01-04,8050,541,0.067205,642.0,524,16,1419.4199999999998,0.030534,0.029575
C005,Facebook_Awareness,Facebook Ads,Awareness,2024-01-04,5406,183,0.033851,300.38,182,4,331.04999999999995,0.021978,0.021858
C006,Facebook_Conversion,Facebook Ads,Conversion,2024-01-04,7146,35,0.004898,58.67,29,2,169.36,0.068966,0.057143
C008,Email_Newsletter_Monthly,Email,Newsletter,2024-01-04,510,10,0.019608,1.0,9,0,0.0,0.0,0.0
C010,Email_Abandoned_Cart,Email,Automation,2024-01-04,328,6,0.018293,0.95,5,0,0.0,0.0,0.0
C001,Google_Brand_Search,Google Ads,Search,2024-01-05,6362,103,0.01619,169.18,99,3,265.68,0.030303,0.029126
C002,Google_Nonbrand_Search,Google Ads,Search,2024-01-05,9142,441,0.048239,880.0,386,18,1530.47,0.046632,0.040816
C003,Google_Shopping_Q1,Google Ads,Shopping,2024-01-05,6636,298,0.044907,210.05,257,13,1001.0499999999998,0.050584,0.043624
C005,Facebook_Awareness,Facebook Ads,Awareness,2024-01-05,4314,111,0.02573,125.53,101,1,97.85,0.009901,0.009009
C006,Facebook_Conversion,Facebook Ads,Conversion,2024-01-05,10318,271,0.026265,522.61,238,7,554.89,0.029412,0.02583
C008,Email_Newsletter_Monthly,Email,Newsletter,2024-01-05,501,11,0.021956,1.1,10,1,109.09,0.1,0.090909
C010,Email_Abandoned_Cart,Email,Automation,2024-01-05,307,10,0.032573,1.0,9,0,0.0,0.0,0.0
