year_month,channel,orders,revenue_usd
2024-01,Direct,167,17589.58
2024-01,Email,49,5264.09
2024-01,Facebook Ads,156,13525.65
2024-01,Google Ads,1220,116224.9
2024-01,Organic,33,2727.45
2024-02,Direct,138,15019.85
2024-02,Email,109,11139.47
2024-02,Facebook Ads,144,12773.76
2024-02,Google Ads,1066,103221.27
2024-02,Organic,44,3502.79
2024-03,Direct,156,17287.23
2024-03,Email,120,12726.17
2024-03,Facebook Ads,195,16526.76
2024-03,Google Ads,1324,125574.58
2024-03,Organic,42,3770.82
2024-04,Direct,185,20604.56
2024-04,Email,103,10937.0
2024-04,Facebook Ads,294,25309.81
2024-04,Google Ads,970,93624.87
2024-04,Organic,46,4063.25
2024-05,Direct,166,17208.05
2024-05,Email,103,10791.67
2024-05,Facebook Ads,229,20261.19
2024-05,Google Ads,870,81586.45
2024-05,Organic,49,3990.41
2024-06,Direct,159,17249.09
2024-06,Email,121,12582.23
2024-06,Facebook Ads,275,24896.15
2024-06,Google Ads,692,64718.79
2024-06,Organic,59,4896.37
2024-07,Direct,158,17376.94
2024-07,Email,90,9459.09
2024-07,Facebook Ads,207,18141.55
2024-07,Google Ads,964,92448.85
2024-07,Organic,37,3056.21
2024-08,Direct,174,18604.37
2024-08,Email,113,11215.67
2024-08,Facebook Ads,224,19839.05
2024-08,Google Ads,812,77273.1
2024-08,Organic,48,3984.86
2024-09,Direct,170,18759.26
2024-09,Email,103,10655.3
2024-09,Facebook Ads,237,21283.4
2024-09,Google Ads,843,79435.92
2024-09,Organic,47,3703.7
2024-10,Direct,190,21724.31
2024-10,Email,99,10199.05
2024-10,Facebook Ads,222,19705.38
2024-10,Google Ads,867,84050.31
2024-10,Organic,42,3935.33
