order_id,session_id,campaign_id,channel,order_date,order_ts,order_value_usd,device,country
ORD-0000001,S00000027,C001,Google Ads,2024-01-01,2024-01-01 02:26:24,63.79,mobile,SG
ORD-0000002,S00000042,C001,Google Ads,2024-01-01,2024-01-01 15:21:33,137.91,mobile,HK
ORD-0000003,S00000079,C001,Google Ads,2024-01-01,2024-01-01 00:42:49,116.22,desktop,MY
ORD-0000004,S00000081,C001,Google Ads,2024-01-01,2024-01-01 00:32:04,95.95,tablet,TW
ORD-0000005,S00000097,C001,Google Ads,2024-01-02,2024-01-02 00:04:20,106.9,desktop,MY
ORD-0000006,S00000098,C001,Google Ads,2024-01-01,2024-01-01 03:35:57,96.04,mobile,HK
ORD-0000007,S00000112,C001,Google Ads,2024-01-01,2024-01-01 00:07:15,60.03,tablet,TW
ORD-0000008,S00000136,C001,Google Ads,2024-01-01,2024-01-01 13:12:55,81.18,mobile,HK
ORD-0000009,S00000145,C001,Google Ads,2024-01-01,2024-01-01 04:06:52,82.01,desktop,HK
ORD-0000010,S00000158,C001,Google Ads,2024-01-01,2024-01-01 12:33:01,65.5,mobile,HK
ORD-0000011,S00000172,C001,Google Ads,2024-01-01,2024-01-01 01:49:18,130.84,mobile,HK
ORD-0000012,S00000184,C001,Google Ads,2024-01-01,2024-01-01 09:24:14,71.15,desktop,HK
ORD-0000013,S00000192,C001,Google Ads,2024-01-01,2024-01-01 14:03:20,94.18,mobile,HK
ORD-0000014,S00000214,C001,Google Ads,2024-01-01,2024-01-01 18:59:42,74.27,mobile,HK
ORD-0000015,S00000216,C001,Google Ads,2024-01-01,2024-01-01 12:53:59,84.42,desktop,HK
ORD-0000016,S00000222,C001,Google Ads,2024-01-01,2024-01-01 17:18:29,128.34,desktop,HK
ORD-0000017,S00000227,C001,Google Ads,2024-01-01,2024-01-01 17:06:39,89.05,desktop,TW
ORD-0000018,S00000230,C001,Google Ads,2024-01-01,2024-01-01 10:17:01,111.34,desktop,US
ORD-0000019,S00000235,C001,Google Ads,2024-01-01,2024-01-01 08:31:16,87.98,mobile,AU
ORD-0000020,S00000275,C001,Google Ads,2024-01-01,2024-01-01 12:04:50,78.03,desktop,HK
ORD-0000021,S00000301,C001,Google Ads,2024-01-02,2024-01-02 23:10:19,92.37,tablet,SG
ORD-0000022,S00000351,C001,Google Ads,2024-01-02,2024-01-02 06:26:49,93.95,mobile,HK
ORD-0000023,S00000367,C001,Google Ads,2024-01-02,2024-01-02 15:20:22,76.76,tablet,SG
ORD-0000024,S00000377,C001,Google Ads,2024-01-02,2024-01-02 19:42:01,120.14,mobile,TW
ORD-0000025,S00000396,C001,Google Ads,2024-01-02,2024-01-02 13:54:52,106.6,desktop,HK
ORD-0000026,S00000425,C001,Google Ads,2024-01-02,2024-01-02 05:34:59,99.01,mobile,HK
ORD-0000027,S00000430,C001,Google Ads,2024-01-02,2024-01-02 19:39:53,144.37,tablet,HK
ORD-0000028,S00000446,C001,Google Ads,2024-01-02,2024-01-02 15:41:56,82.11,mobile,TW
ORD-0000029,S00000474,C001,Google Ads,2024-01-02,2024-01-02 15:28:30,120.32,desktop,JP
ORD-0000030,S00000501,C001,Google Ads,2024-01-02,2024-01-02 10:25:37,114.76,mobile,HK
ORD-0000031,S00000517,C001,Google Ads,2024-01-02,2024-01-02 23:19:37,50.14,desktop,SG
ORD-0000032,S00000533,C001,Google Ads,2024-01-02,2024-01-02 01:31:32,99.57,tablet,HK
ORD-0000033,S00000539,C001,Google Ads,2024-01-02,2024-01-02 21:04:24,75.0,mobile,HK
ORD-0000034,S00000662,C001,Google Ads,2024-01-03,2024-01-03 04:12:51,99.23,desktop,GB
ORD-0000035,S00000673,C001,Google Ads,2024-01-03,2024-01-03 12:40:04,110.17,mobile,AU
ORD-0000036,S00000747,C001,Google Ads,2024-01-03,2024-01-03 12:22:37,134.34,mobile,SG
ORD-0000037,S00000755,C001,Google Ads,2024-01-03,2024-01-03 22:50:02,58.45,desktop,AU
ORD-0000038,S00000768,C001,Google Ads,2024-01-03,2024-01-03 08:40:28,87.56,mobile,HK
ORD-0000039,S00000774,C001,Google Ads,2024-01-03,2024-01-03 18:49:20,74.07,desktop,HK
ORD-0000040,S00000802,C001,Google Ads,2024-01-03,2024-01-03 07:50:04,112.03,desktop,US
ORD-0000041,S00000810,C001,Google Ads,2024-01-03,2024-01-03 02:38:38,64.53,tablet,AU
ORD-0000042,S00000823,C001,Google Ads,2024-01-03,2024-01-03 18:22:09,133.35,mobile,TW
ORD-0000043,S00000848,C001,Google Ads,2024-01-03,2024-01-03 14:03:41,124.81,desktop,SG
ORD-0000044,S00000871,C001,Google Ads,2024-01-03,2024-01-03 20:30:12,77.24,desktop,US
ORD-0000045,S00000896,C001,Google Ads,2024-01-03,2024-01-03 07:30:44,84.65,mobile,HK
ORD-0000046,S00001003,C001,Google Ads,2024-01-03,2024-01-03 17:46:00,107.15,mobile,HK
ORD-0000047,S00001005,C001,Google Ads,2024-01-03,2024-01-03 03:24:34,53.83,mobile,AU
ORD-0000048,S00001029,C001,Google Ads,2024-01-04,2024-01-04 14:32:39,109.9,mobile,TW
ORD-0000049,S00001088,C001,Google Ads,2024-01-04,2024-01-04 08:26:36,78.25,desktop,US
ORD-0000050,S00001116,C001,Google Ads,2024-01-04,2024-01-04 10:10:35,38.94,tablet,SG
ORD-0000051,S00001132,C001,Google Ads,2024-01-04,2024-01-04 10:28:11,89.66,mobile,HK
ORD-0000052,S00001153,C001,Google Ads,2024-01-05,2024-01-05 00:02:33,78.4,tablet,SG
ORD-0000053,S00001201,C001,Google Ads,2024-01-04,2024-01-04 15:01:12,57.37,desktop,SG
ORD-0000054,S00001208,C001,Google Ads,2024-01-04,2024-01-04 16:46:46,96.84,desktop,HK
ORD-0000055,S00001216,C001,Google Ads,2024-01-04,2024-01-04 19:47:37,120.76,desktop,SG
ORD-0000056,S00001220,C001,Google Ads,2024-01-04,2024-01-04 14:15:23,69.8,mobile,HK
ORD-0000057,S00001225,C001,Google Ads,2024-01-04,2024-01-04 23:37:26,51.49,mobile,US
ORD-0000058,S00001292,C001,Google Ads,2024-01-05,2024-01-05 13:40:28,72.39,mobile,GB
ORD-0000059,S00001324,C001,Google Ads,2024-01-05,2024-01-05 06:25:39,114.89,mobile,HK
ORD-0000060,S00001372,C001,Google Ads,2024-01-06,2024-01-06 15:17:02,115.68,desktop,US
ORD-0000061,S00001430,C001,Google Ads,2024-01-06,2024-01-06 10:55:49,88.44,desktop,SG
ORD-0000062,S00001448,C001,Google Ads,2024-01-06,2024-01-06 08:29:33,107.96,mobile,HK
ORD-0000063,S00001464,C001,Google Ads,2024-01-06,2024-01-06 09:09:27,95.14,mobile,TW
ORD-0000064,S00001475,C001,Google Ads,2024-01-06,2024-01-06 15:54:27,10.0,desktop,US
ORD-0000065,S00001490,C001,Google Ads,2024-01-06,2024-01-06 17:34:47,123.75,mobile,JP
ORD-0000066,S00001512,C001,Google Ads,2024-01-07,2024-01-07 16:20:29,104.27,mobile,TW
ORD-0000067,S00001565,C001,Google Ads,2024-01-07,2024-01-07 08:06:33,131.1,mobile,SG
ORD-0000068,S00001589,C001,Google Ads,2024-01-07,2024-01-07 19:55:03,113.28,tablet,SG
ORD-0000069,S00001617,C001,Google Ads,2024-01-08,2024-01-08 11:54:09,55.81,desktop,SG
ORD-0000070,S00001630,C001,Google Ads,2024-01-08,2024-01-08 03:09:50,53.87,mobile,TW
ORD-0000071,S00001633,C001,Google Ads,2024-01-08,2024-01-08 19:27:37,74.44,tablet,HK
ORD-0000072,S00001665,C001,Google Ads,2024-01-08,2024-01-08 01:11:02,63.9,tablet,AU
ORD-0000073,S00001688,C001,Google Ads,2024-01-08,2024-01-08 23:15:45,86.95,mobile,HK
ORD-0000074,S00001692,C001,Google Ads,2024-01-08,2024-01-08 10:21:26,81.81,desktop,TW
ORD-0000075,S00001703,C001,Google Ads,2024-01-08,2024-01-08 09:48:31,70.15,mobile,SG
ORD-0000076,S00001739,C001,Google Ads,2024-01-08,2024-01-08 05:55:37,105.15,mobile,US
ORD-0000077,S00001772,C001,Google Ads,2024-01-09,2024-01-09 00:04:09,132.91,desktop,HK
ORD-0000078,S00001783,C001,Google Ads,2024-01-08,2024-01-08 18:20:13,98.68,mobile,GB
ORD-0000079,S00001805,C001,Google Ads,2024-01-08,2024-01-08 20:05:16,95.03,desktop,JP
ORD-0000080,S00001813,C001,Google Ads,2024-01-08,2024-01-08 06:32:52,85.08,desktop,MY
ORD-0000081,S00001865,C001,Google Ads,2024-01-09,2024-01-09 19:58:28,124.42,mobile,AU
ORD-0000082,S00001893,C001,Google Ads,2024-01-09,2024-01-09 18:46:03,100.81,tablet,HK
ORD-0000083,S00001939,C001,Google Ads,2024-01-09,2024-01-09 05:42:35,98.82,mobile,US
ORD-0000084,S00001971,C001,Google Ads,2024-01-09,2024-01-09 22:06:50,126.53,desktop,JP
ORD-0000085,S00001987,C001,Google Ads,2024-01-09,2024-01-09 01:35:22,95.75,desktop,HK
ORD-0000086,S00002001,C001,Google Ads,2024-01-09,2024-01-09 12:52:50,104.41,mobile,HK
ORD-0000087,S00002002,C001,Google Ads,2024-01-09,2024-01-09 06:33:29,40.77,desktop,GB
ORD-0000088,S00002003,C001,Google Ads,2024-01-09,2024-01-09 21:32:33,109.53,tablet,MY
ORD-0000089,S00002022,C001,Google Ads,2024-01-09,2024-01-09 05:50:14,135.82,desktop,HK
ORD-0000090,S00002025,C001,Google Ads,2024-01-09,2024-01-09 02:42:02,86.24,mobile,HK
ORD-0000091,S00002032,C001,Google Ads,2024-01-09,2024-01-09 12:31:14,36.59,mobile,HK
ORD-0000092,S00002044,C001,Google Ads,2024-01-09,2024-01-09 12:29:34,129.17,desktop,SG
ORD-0000093,S00002049,C001,Google Ads,2024-01-09,2024-01-09 02:51:03,106.56,desktop,HK
ORD-0000094,S00002056,C001,Google Ads,2024-01-09,2024-01-09 14:15:52,101.89,desktop,GB
ORD-0000095,S00002070,C001,Google Ads,2024-01-09,2024-01-09 14:49:21,47.25,mobile,AU
