year_month,channel,total_spend,total_revenue,roas
2024-01,Email,61136.0,2322278.0,37.99
2024-01,Google Ads,214883369.0,33975154.0,0.16
2024-02,Email,172092.0,3650849.0,21.21
2024-02,Google Ads,204382335.0,31783209.0,0.16
2024-03,Email,172217.0,3902631.0,22.66
2024-03,Google Ads,221115441.0,34680547.0,0.16
2024-04,Email,149611.0,3776740.0,25.24
2024-04,Google Ads,218785670.0,30147773.0,0.14
2024-05,Email,143290.0,3902631.0,27.24
2024-05,Google Ads,205355415.0,31152699.0,0.15
2024-06,Email,160933.0,3776740.0,23.47
2024-06,Google Ads,188916410.0,30147773.0,0.16
2024-07,Email,118943.0,3902631.0,32.81
2024-07,Google Ads,220878763.0,31152699.0,0.14
2024-08,Email,173719.0,3902631.0,22.47
2024-08,Google Ads,199013461.0,31152699.0,0.16
2024-09,Email,129689.0,3776740.0,29.12
2024-09,Google Ads,206076037.0,30147773.0,0.15
2024-10,Email,201411.0,3902631.0,19.38
2024-10,Google Ads,211507533.0,31152699.0,0.15
2024-11,Email,182695.0,3776740.0,20.67
2024-11,Google Ads,210625591.0,30147773.0,0.14
2024-12,Email,65101.0,2322278.0,35.67
2024-12,Google Ads,227304631.0,31152699.0,0.14
